x,y1,y2,y3
0.12251,1.01294,1.2671,0.984473
0.123301,1.01294,1.2671,0.984473
0.124091,1.01294,1.2671,0.984473
0.124881,1.01361,1.27398,0.98412
0.125672,1.01361,1.27398,0.98412
0.126462,1.01361,1.27398,0.98412
0.127253,1.01361,1.27398,0.98412
0.128043,1.0143,1.28086,0.983768
0.128833,1.0143,1.28086,0.983768
0.129624,1.0143,1.28086,0.983768
0.130414,1.0143,1.28086,0.983768
0.131205,1.015,1.28774,0.983419
0.131995,1.015,1.28774,0.983419
0.132785,1.015,1.28774,0.983419
0.133576,1.015,1.28774,0.983419
0.134366,1.01572,1.29463,0.983073
0.135156,1.01572,1.29463,0.983073
0.135947,1.01572,1.29463,0.983073
0.136737,1.01572,1.29463,0.983073
0.137528,1.01645,1.30152,0.982729
0.138318,1.01645,1.30152,0.982729
0.139108,1.01645,1.30152,0.982729
0.139899,1.01645,1.30152,0.982729
0.140689,1.0172,1.30842,0.982387
0.14148,1.0172,1.30842,0.982387
0.14227,1.0172,1.30842,0.982387
0.14306,1.0172,1.30842,0.982387
0.143851,1.01797,1.31531,0.982047
0.144641,1.01797,1.31531,0.982047
0.145432,1.01797,1.31531,0.982047
0.146222,1.01797,1.31531,0.982047
0.147012,1.01876,1.32221,0.98171
0.147803,1.01876,1.32221,0.98171
0.148593,1.01876,1.32221,0.98171
0.149383,1.01876,1.32221,0.98171
0.150174,1.01956,1.32912,0.981375
0.150964,1.01956,1.32912,0.981375
0.151755,1.01956,1.32912,0.981375
0.152545,1.01956,1.32912,0.981375
0.153335,1.02037,1.33603,0.981042
0.154126,1.02037,1.33603,0.981042
0.154916,1.02037,1.33603,0.981042
0.155707,1.02037,1.33603,0.981042
0.156497,1.0212,1.34294,0.980712
0.157287,1.0212,1.34294,0.980712
0.158078,1.0212,1.34294,0.980712
0.158868,1.0212,1.34294,0.980712
0.159659,1.02205,1.34986,0.980384
0.160449,1.02205,1.34986,0.980384
0.161239,1.02205,1.34986,0.980384
0.16203,1.02205,1.34986,0.980384
0.16282,1.02291,1.35678,0.980059
0.16361,1.02291,1.35678,0.980059
0.164401,1.02291,1.35678,0.980059
0.165191,1.02291,1.35678,0.980059
0.165982,1.02379,1.36371,0.979736
0.166772,1.02379,1.36371,0.979736
0.167562,1.02379,1.36371,0.979736
0.168353,1.02379,1.36371,0.979736
0.169143,1.02469,1.37064,0.979415
0.169934,1.02469,1.37064,0.979415
0.170724,1.02469,1.37064,0.979415
0.171514,1.02469,1.37064,0.979415
0.172305,1.0256,1.37757,0.979097
0.173095,1.0256,1.37757,0.979097
0.173886,1.0256,1.37757,0.979097
0.174676,1.0256,1.37757,0.979097
0.175466,1.02653,1.38451,0.978782
0.176257,1.02653,1.38451,0.978782
0.177047,1.02653,1.38451,0.978782
0.177837,1.02653,1.38451,0.978782
0.178628,1.02747,1.39146,0.978468
0.179418,1.02747,1.39146,0.978468
0.180209,1.02747,1.39146,0.978468
0.180999,1.02747,1.39146,0.978468
0.181789,1.02843,1.39841,0.978157
0.18258,1.02843,1.39841,0.978157
0.18337,1.02843,1.39841,0.978157
0.184161,1.02843,1.39841,0.978157
0.184951,1.02941,1.40536,0.977849
0.185741,1.02941,1.40536,0.977849
0.186532,1.02941,1.40536,0.977849
0.187322,1.02941,1.40536,0.977849
0.188113,1.0304,1.41232,0.977543
0.188903,1.0304,1.41232,0.977543
0.189693,1.0304,1.41232,0.977543
0.190484,1.0304,1.41232,0.977543
0.191274,1.0314,1.41929,0.97724
0.192064,1.0314,1.41929,0.97724
0.192855,1.0314,1.41929,0.97724
0.193645,1.0314,1.41929,0.97724
0.194436,1.03243,1.42626,0.976939
0.195226,1.03243,1.42626,0.976939
0.196016,1.03243,1.42626,0.976939
0.196807,1.03243,1.42626,0.976939
0.197597,1.03346,1.43323,0.97664
0.198388,1.03346,1.43323,0.97664
0.199178,1.03346,1.43323,0.97664
0.199968,1.03346,1.43323,0.97664
0.200759,1.03452,1.44022,0.976344
0.201549,1.03452,1.44022,0.976344
0.20234,1.03452,1.44022,0.976344
0.20313,1.03452,1.44022,0.976344
0.20392,1.03559,1.4472,0.976051
0.204711,1.03559,1.4472,0.976051
0.205501,1.03559,1.4472,0.976051
0.206291,1.03559,1.4472,0.976051
0.207082,1.03667,1.4542,0.97576
0.207872,1.03667,1.4542,0.97576
0.208663,1.03667,1.4542,0.97576
0.209453,1.03667,1.4542,0.97576
0.210243,1.03777,1.4612,0.975471
0.211034,1.03777,1.4612,0.975471
0.211824,1.03777,1.4612,0.975471
0.212615,1.03777,1.4612,0.975471
0.213405,1.03889,1.4682,0.975185
0.214195,1.03889,1.4682,0.975185
0.214986,1.03889,1.4682,0.975185
0.215776,1.03889,1.4682,0.975185
0.216567,1.04002,1.47521,0.974902
0.217357,1.04002,1.47521,0.974902
0.218147,1.04002,1.47521,0.974902
0.218938,1.04002,1.47521,0.974902
0.219728,1.04117,1.48223,0.974621
0.220518,1.04117,1.48223,0.974621
0.221309,1.04117,1.48223,0.974621
0.222099,1.04117,1.48223,0.974621
0.22289,1.04233,1.48926,0.974343
0.22368,1.04233,1.48926,0.974343
0.22447,1.04233,1.48926,0.974343
0.225261,1.04233,1.48926,0.974343
0.226051,1.04351,1.49629,0.974067
0.226842,1.04351,1.49629,0.974067
0.227632,1.04351,1.49629,0.974067
0.228422,1.04351,1.49629,0.974067
0.229213,1.0447,1.50332,0.973794
0.230003,1.0447,1.50332,0.973794
0.230794,1.0447,1.50332,0.973794
0.231584,1.0447,1.50332,0.973794
0.232374,1.04591,1.51037,0.973524
0.233165,1.04591,1.51037,0.973524
0.233955,1.04591,1.51037,0.973524
0.234745,1.04591,1.51037,0.973524
0.235536,1.04713,1.51742,0.973256
0.236326,1.04713,1.51742,0.973256
0.237117,1.04713,1.51742,0.973256
0.237907,1.04713,1.51742,0.973256
0.238697,1.04837,1.52448,0.972991
0.239488,1.04837,1.52448,0.972991
0.240278,1.04837,1.52448,0.972991
0.241069,1.04837,1.52448,0.972991
0.241859,1.04963,1.53154,0.972728
0.242649,1.04963,1.53154,0.972728
0.24344,1.04963,1.53154,0.972728
0.24423,1.04963,1.53154,0.972728
0.245021,1.0509,1.53861,0.972468
0.245811,1.0509,1.53861,0.972468
0.246601,1.0509,1.53861,0.972468
0.247392,1.0509,1.53861,0.972468
0.248182,1.05218,1.54569,0.972211
0.248972,1.05218,1.54569,0.972211
0.249763,1.05218,1.54569,0.972211
0.250553,1.05218,1.54569,0.972211
0.251344,1.05348,1.55278,0.971957
0.252134,1.05348,1.55278,0.971957
0.252924,1.05348,1.55278,0.971957
0.253715,1.05348,1.55278,0.971957
0.254505,1.0548,1.55987,0.971705
0.255296,1.0548,1.55987,0.971705
0.256086,1.0548,1.55987,0.971705
0.256876,1.0548,1.55987,0.971705
0.257667,1.05613,1.56698,0.971455
0.258457,1.05613,1.56698,0.971455
0.259248,1.05613,1.56698,0.971455
0.260038,1.05613,1.56698,0.971455
0.260828,1.05747,1.57409,0.971209
0.261619,1.05747,1.57409,0.971209
0.262409,1.05747,1.57409,0.971209
0.263199,1.05747,1.57409,0.971209
0.26399,1.05884,1.5812,0.970965
0.26478,1.05884,1.5812,0.970965
0.265571,1.05884,1.5812,0.970965
0.266361,1.05884,1.5812,0.970965
0.267151,1.06021,1.58833,0.970724
0.267942,1.06021,1.58833,0.970724
0.268732,1.06021,1.58833,0.970724
0.269523,1.06021,1.58833,0.970724
0.270313,1.0616,1.59546,0.970485
0.271103,1.0616,1.59546,0.970485
0.271894,1.0616,1.59546,0.970485
0.272684,1.0616,1.59546,0.970485
0.273475,1.06301,1.6026,0.97025
0.274265,1.06301,1.6026,0.97025
0.275055,1.06301,1.6026,0.97025
0.275846,1.06301,1.6026,0.97025
0.276636,1.06443,1.60975,0.970017
0.277426,1.06443,1.60975,0.970017
0.278217,1.06443,1.60975,0.970017
0.279007,1.06443,1.60975,0.970017
0.279798,1.06587,1.61691,0.969787
0.280588,1.06587,1.61691,0.969787
0.281378,1.06587,1.61691,0.969787
0.282169,1.06587,1.61691,0.969787
0.282959,1.06732,1.62408,0.969559
0.28375,1.06732,1.62408,0.969559
0.28454,1.06732,1.62408,0.969559
0.28533,1.06732,1.62408,0.969559
0.286121,1.06879,1.63125,0.969335
0.286911,1.06879,1.63125,0.969335
0.287702,1.06879,1.63125,0.969335
0.288492,1.06879,1.63125,0.969335
0.289282,1.07027,1.63843,0.969113
0.290073,1.07027,1.63843,0.969113
0.290863,1.07027,1.63843,0.969113
0.291653,1.07027,1.63843,0.969113
0.292444,1.07177,1.64563,0.968894
0.293234,1.07177,1.64563,0.968894
0.294025,1.07177,1.64563,0.968894
0.294815,1.07177,1.64563,0.968894
0.295605,1.07328,1.65283,0.968678
